delegator_address,validator_address,from_address,to_address,denom,amount,timestamp,tx_hash
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,6000000.000000000000,2022-05-11 14:51:52,B4B15675F0B1524F1B77419009967F9A1016FBB285A2E2CAD9BEE92F0372E228
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,2000000.000000000000,2022-05-11 09:19:36,6D999F80D3690EA10E1993E0D03F9E116379B5E613502322B336230056A3B3D2
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,luna,1000000.000000000000,2022-05-11 09:09:55,CDCDE25765E1E2A8D7A63940757CC8951169E99F056695D724AAC0BF2079F550
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,luna,600000.000000000000,2022-05-11 03:50:14,B3CF82E4773C39AE9EC77CA53E39135284BC9905855B0374011A324080C8C212
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,usd,50000000.000000000000,2022-05-11 03:48:14,B24AEFBF6A4CCD97182EFB019A1A43D36B3C4947FAA600DAF0A53F49961D1A51
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,usd,30636.000000000000,2022-05-11 03:41:57,779BFAC00949E8891A17D1ECC556284A9E0A7157F7FB386000B01D7F9C598936
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,1000000.000000000000,2022-05-11 02:00:07,F4C17CABF7081C2D08B36CC26489B9008929FF20CCC0B0AB06F4D360FB676A9B
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,usd,40000000.000000000000,2022-05-10 18:15:04,94FC26E1E82F33F3C85A4CE442A3030D3D57D627709B087AF83E9101C8A890CA
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,usd,20000000.000000000000,2022-05-10 10:35:31,780EF4326197E6799AFAAC2772EE7F8C701EBA2C312C9AB6D51BFC89E46D2312
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,500000.000000000000,2022-05-10 10:08:38,CD3BA21E971D26B418D527133D7B2F405D8CD2958C3A22F3214D7B004614FDB8
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,usd,10000000.000000000000,2022-05-10 08:34:58,A3D2739EBCD4E4CE06836C67F3FE956213D4443CA3D1520BBC3D1E8C41A40959
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,usd,112120480.00000000,2022-05-10 05:34:02,510579C62AD8F4F4B9126D66AB58B820D8732068CB1A5B65EC183A746FDD88E7
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,40000.000000000000,2022-05-09 08:59:36,F7316E56E925E2D62ECC8F55AF63B1993D9078456A7337B3D855617D7069AD21
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,475832.000000000000,2022-05-09 03:41:59,25BF886FD66EB4902F8D47CDF984549B31FFE4C602661A4C0F227EDA34B9F07F
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,usd,18213093.000000000000,2022-05-09 03:41:59,F739001FD2BA3A229AC1EB1AB47C47F6BB7E6E87A29FDF7F974F54B66E902FAE
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,usd,20000000.000000000000,2022-05-08 04:14:28,D211983BFE6D3E348174CCA1902C04EC64A0027FB3B2618902B29111E9AFB61C
,,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,luna,300000.000000000000,2022-05-08 04:14:02,DFCC778FA28FE15AA663D0C5C5B2EA7AB41A895AB8EFD590DD3680AF1A51B921
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,usd,54215870.000000000000,2022-05-08 03:42:05,F5406FCBDCE3887CF9E6F3A6A293006DAC8DCA24B993F065B71B0C9CBB0F5768
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,68851.000000000000,2022-05-08 03:41:58,F65D3C594CF286147B994E0F06250BA4A819AFDFF5BA26FFC0DECE8E7E468607
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,150000.000000000000,2022-05-08 01:00:25,83260B7BD0DC47F46AC85AA0770BC0195E29F403104F06CFABC0E5484C72D36D
terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terravaloper12qvrr6j7u3z5el5uuwg99ftx3jru5py6027gfx,,,luna,500000.000000000000,2022-05-07 15:08:00,08F170E89FB77765CC1759B0004F50CDE428DE4BC34E6D4A7E9BF61E6AEA2653
terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,terravaloper18jv83kckd0r8ht9fwsqzyvljcd4h4pj9ufntwe,,,luna,500000.000000000000,2022-05-07 15:07:14,FB5C20F7F2D79758D44B5681C2A1D5C216DEE5B55F4E29F9C652D6B759B389D2
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,usd,7188805.000000000000,2022-05-07 03:42:08,7BB7286BCFE923B6EF4EA47E0BE77C8CABDFBA66AC66C0523811983B0C97A7D9
,,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,luna,74253.000000000000,2022-05-07 03:42:08,E573C03EA29BBCF39A268DA168936123DA2C099E53BEDC59B93368CBCC16A168
